SKU,price_today,date-1yr,price_1yr,price_change_1yr (%),date-2yr,price_2yr_ago,price_change_2yr (%),date-3yr,price_3yr_ago,price_change_3yr (%)
00-22248,2.99,2025-01-24,2.99,0.0,2024-02-01,1.99,50.25,2022-12-15,2.59,15.44
00-511147,2.99,2025-01-30,2.99,0.0,2024-02-01,2.79,7.17,,,
00-490270,11.99,2025-01-01,11.99,0.0,2023-12-31,11.99,0.0,2023-01-25,9.99,20.02
00-468651,2.24,2023-08-31,3.29,-31.91,2023-08-31,3.29,-31.91,2022-06-30,3.29,-31.91
00-729409,2.79,2024-01-11,2.99,-6.69,2024-01-11,2.99,-6.69,,,
00-224126,2.69,2025-01-24,2.69,0.0,2024-01-19,2.69,0.0,2023-02-02,2.49,8.03
00-758475,1.27,2025-02-04,1.69,-24.85,,,,,,
00-772968,3.79,2025-01-24,3.79,0.0,2024-01-19,3.69,2.71,,,
00-933792,2.79,2025-01-25,2.59,7.72,2023-08-31,2.69,3.72,2022-10-26,2.49,12.05
00-356386,4.49,2023-12-07,3.99,12.53,2023-12-07,3.99,12.53,2022-11-10,3.49,28.65
00-30388,4.19,2025-01-30,2.79,50.18,2024-02-01,4.19,0.0,2023-02-02,2.66,57.52
00-589351,32.9,2025-01-01,32.9,0.0,2023-12-31,32.9,0.0,2023-02-04,22.43,46.68
00-90032,2.69,2025-01-01,2.69,0.0,2023-12-31,2.69,0.0,2023-02-02,2.79,-3.58
00-819377,6.99,2025-01-01,6.99,0.0,2024-01-01,6.99,0.0,2023-02-02,6.99,0.0
00-303091,4.49,2024-12-01,3.99,12.53,2023-12-07,3.69,21.68,,,
00-423002,3.79,2025-01-30,2.49,52.21,2024-01-21,3.39,11.8,2022-12-27,1.99,90.45
00-735153,7.49,2025-01-24,7.49,0.0,2024-01-19,7.49,0.0,,,
00-724612,1.69,2024-12-13,1.69,0.0,2024-01-12,1.59,6.29,,,
00-755431,5.59,2022-11-13,5.39,3.71,2022-11-13,5.39,3.71,2022-11-13,5.39,3.71
00-297642,64.99,2025-01-24,59.99,8.33,,,,,,
00-905436,1.87,2024-01-12,2.49,-24.9,2024-01-12,2.49,-24.9,,,
00-728882,1.89,2025-01-24,1.89,0.0,,,,,,
00-813562,3.79,2025-01-24,3.69,2.71,2023-12-20,3.69,2.71,2022-11-27,3.25,16.62
00-911350,1.89,2025-01-30,1.69,11.83,2024-02-01,1.59,18.87,2023-02-02,1.59,18.87
00-416354,2.79,2025-01-24,2.79,0.0,2024-01-19,2.79,0.0,2023-01-17,2.79,0.0
00-768163,1.5,2025-01-24,2.99,-49.83,,,,,,
00-489702,8.99,2025-01-01,8.99,0.0,,,,,,
00-7802,2.69,2025-01-19,2.59,3.86,2024-01-21,2.49,8.03,2022-12-11,1.99,35.18
00-758021,2.29,2025-01-24,2.99,-23.41,,,,,,
00-838772,59.9,2025-01-01,56.9,5.27,2023-12-31,54.9,9.11,2022-03-10,49.9,20.04
00-809870,3.39,2025-01-19,3.39,0.0,2024-01-21,3.39,0.0,2023-02-07,2.89,17.3
00-412406,4.49,2025-01-30,2.79,60.93,2024-02-01,1.89,137.57,2023-02-02,1.79,150.84
00-756629,2.79,2025-01-30,3.59,-22.28,,,,,,
00-280617,5.49,2025-01-24,5.49,0.0,2023-11-09,5.49,0.0,2023-01-29,5.29,3.78
00-428558,4.29,2023-06-20,4.29,0.0,2023-06-20,4.29,0.0,2018-01-01,2.49,72.29
00-720240,1.2,2025-01-30,1.19,0.84,,,,,,
00-906080,4.29,2025-01-02,4.29,0.0,2024-01-15,3.89,10.28,2022-12-16,3.29,30.4
00-776907,1.99,2023-05-23,1.99,0.0,2023-05-23,1.99,0.0,2023-01-21,1.95,2.05
00-733273,29.99,2025-01-19,27.99,7.15,2024-01-21,22.99,30.45,2022-12-15,20.99,42.88
00-395664,18.99,2025-01-01,18.99,0.0,2023-12-31,17.99,5.56,2023-02-04,17.99,5.56
00-724609,1.79,2024-12-13,1.79,0.0,2024-01-12,1.79,0.0,,,
00-723754,3.69,2025-01-24,3.69,0.0,2024-01-19,3.39,8.85,,,
00-254046,3.99,2025-01-30,4.99,-20.04,2023-10-01,4.99,-20.04,2022-10-02,3.79,5.28
00-483613,4.49,2024-12-01,3.59,25.07,2023-12-01,2.47,81.78,,,
00-706576,2.69,2025-01-30,1.89,42.33,,,,,,
00-478251,10.99,2025-01-01,10.99,0.0,2023-12-31,10.99,0.0,2022-10-30,9.99,10.01
00-407313,4.19,2024-12-01,3.89,7.71,2024-01-08,3.69,13.55,2022-11-27,3.49,20.06
00-654384,4.99,2025-01-30,3.13,59.42,2024-02-01,2.86,74.48,2023-02-02,2.66,87.59
00-728156,1.89,2025-01-24,1.89,0.0,,,,,,
00-423530,11.99,2025-01-01,11.99,0.0,2023-12-31,11.99,0.0,2023-01-22,10.99,9.1
00-496168,3.79,2023-10-26,3.49,8.6,2023-10-26,3.49,8.6,2022-11-29,2.99,26.76
00-654316,4.99,2025-01-30,3.13,59.42,2024-02-01,2.86,74.48,2023-02-02,2.66,87.59
00-772974,3.79,2025-01-24,3.79,0.0,2024-01-19,3.69,2.71,,,
00-632428,4.49,2025-01-30,2.99,50.17,2024-02-01,3.29,36.47,2023-02-02,2.99,50.17
00-710516,7.99,2024-12-01,6.99,14.31,2023-12-07,6.39,25.04,2022-12-19,5.99,33.39
00-597968,1.49,2025-01-24,1.49,0.0,2024-01-19,1.49,0.0,,,
00-869715,6.99,2023-11-12,6.99,0.0,2023-11-12,6.99,0.0,2022-11-13,5.99,16.69
00-395545,2.99,2025-01-30,2.99,0.0,2023-12-19,2.99,0.0,,,
00-406792,1.49,2025-01-30,1.99,-25.13,2024-02-01,1.99,-25.13,2023-02-02,2.49,-40.16
00-3437,1.99,2024-12-01,1.89,5.29,2023-12-07,1.89,5.29,2022-12-18,1.59,25.16
00-749481,2.19,2025-01-16,1.99,10.05,,,,,,
00-526107,5.49,2025-01-07,5.49,0.0,,,,,,
00-680785,3.49,2025-02-06,3.49,0.0,2024-01-19,4.69,-25.59,2023-01-29,4.49,-22.27
00-438413,1.04,2025-01-24,1.04,0.0,2023-12-07,0.97,7.22,2022-09-04,1.09,-4.59
00-860030,2.24,2025-01-30,2.99,-25.08,2024-02-01,1.29,73.64,2022-04-12,1.29,73.64
00-801068,1.49,2025-01-24,1.49,0.0,2024-01-19,1.49,0.0,2023-01-26,1.49,0.0
00-416079,2.99,2024-12-25,1.99,50.25,2023-12-25,1.59,88.05,2022-11-27,1.39,115.11
00-794200,3.99,2023-10-24,3.99,0.0,2023-10-24,3.99,0.0,2022-07-07,3.49,14.33
00-242679,2.66,2023-06-14,3.99,-33.33,2023-06-14,3.99,-33.33,2022-12-15,5.29,-49.72
00-739257,1.09,2025-01-05,1.09,0.0,,,,,,
00-718192,3.99,2025-01-30,3.99,0.0,2024-02-01,3.99,0.0,,,
00-421626,3.39,2025-02-02,2.39,41.84,2024-02-01,1.99,70.35,2023-02-02,1.99,70.35
00-906081,4.29,2025-01-02,4.29,0.0,2024-01-15,3.89,10.28,2022-12-16,3.29,30.4
00-677528,1.99,2024-12-01,1.99,0.0,2024-02-01,2.19,-9.13,2023-01-19,1.99,0.0
00-292584,5.49,2025-01-19,5.19,5.78,2024-01-21,3.99,37.59,2022-12-25,3.69,48.78
00-718519,1.49,2025-01-01,1.49,0.0,2023-12-31,1.49,0.0,,,
00-722218,4.74,2025-01-30,7.14,-33.61,,,,,,
00-609811,3.49,2024-04-25,3.19,9.4,2023-10-01,3.19,9.4,2022-05-24,2.69,29.74
00-713648,3.49,2024-02-25,3.49,0.0,2023-11-12,3.49,0.0,,,
00-623227,1.87,2025-01-24,2.39,-21.76,2024-01-19,2.59,-27.8,2023-02-07,2.59,-27.8
00-479795,3.59,2025-01-24,3.59,0.0,2024-01-19,3.59,0.0,2023-02-07,3.59,0.0
00-703962,2.99,2025-01-23,1.99,50.25,2024-01-25,1.99,50.25,,,
00-342717,16.49,2024-10-26,15.99,3.13,2024-02-01,15.99,3.13,2022-09-25,14.99,10.01
00-727587,3.99,2025-01-24,3.99,0.0,2024-01-19,3.99,0.0,,,
00-811412,2.39,2025-01-30,2.19,9.13,2024-01-19,2.19,9.13,2023-01-17,1.79,33.52
00-473683,2.99,2025-02-02,2.99,0.0,2023-11-23,2.89,3.46,2023-01-12,2.99,0.0
00-746178,18.99,2025-01-01,18.99,0.0,,,,,,
00-421346,1.49,2025-01-30,0.99,50.51,2024-02-01,0.99,50.51,2023-02-02,0.89,67.42
