SKU,price_today,date-1yr,price_1yr,price_change_1yr (%),date-2yr,price_2yr_ago,price_change_2yr (%),date-3yr,price_3yr_ago,price_change_3yr (%)
00-248021,4.49,2024-10-26,2.59,73.36,2023-10-29,2.29,96.07,2018-09-11,0.99,353.54
00-919637,4.49,2024-10-26,1.3,245.38,2023-10-29,1.15,290.43,2018-09-11,0.99,353.54
00-939579,3.99,2024-11-12,3.99,0.0,2023-10-29,3.69,8.13,2021-03-16,1.0,299.0
00-598502,1.79,2024-11-12,1.89,-5.29,2023-06-22,1.89,-5.29,2019-08-21,0.49,265.31
00-744183,3.59,2024-05-27,2.79,28.67,2023-02-04,3.49,2.87,2021-04-08,0.99,262.63
00-721404,2.99,2024-10-26,2.49,20.08,2023-10-29,2.29,30.57,2018-09-01,0.99,202.02
00-657771,2.99,2024-11-12,2.79,7.17,2023-10-21,2.79,7.17,2021-10-14,0.99,202.02
00-58139,5.49,2024-09-19,3.49,57.31,2023-06-21,2.69,104.09,2022-10-06,1.99,175.88
00-832116,29.99,2024-11-07,13.99,114.37,2023-11-09,12.99,130.87,2022-10-27,10.99,172.88
00-346882,29.99,2024-11-07,13.99,114.37,2023-11-09,12.99,130.87,2022-10-27,10.99,172.88
