SKU,price_today,date-1yr,price_1yr,price_change_1yr (%),date-2yr,price_2yr_ago,price_change_2yr (%),date-3yr,price_3yr_ago,price_change_3yr (%)
00-919637,4.49,2024-09-27,1.3,245.38,2023-10-21,1.15,290.43,2018-09-11,0.99,353.54
00-864945,7.79,2024-02-25,3.14,148.09,2022-11-13,3.14,148.09,2022-04-11,3.14,148.09
00-458525,3.99,2024-09-26,1.72,131.98,2023-10-12,1.72,131.98,2022-09-04,1.095,264.38
00-322581,3.99,2024-09-26,1.72,131.98,2023-10-12,1.72,131.98,2022-09-04,2.19,82.19
00-417933,3.99,2024-09-26,1.72,131.98,2023-10-12,1.72,131.98,2022-09-04,2.19,82.19
00-412404,3.99,2024-09-26,1.72,131.98,2023-10-12,1.72,131.98,2022-09-04,2.19,82.19
00-417684,3.99,2024-09-26,1.72,131.98,2023-10-12,1.72,131.98,2022-09-04,2.19,82.19
00-860030,2.99,2024-06-06,1.29,131.78,2022-04-12,1.29,131.78,2022-04-12,1.29,131.78
00-930899,4.99,2024-08-14,2.19,127.85,2023-05-13,1.99,150.75,2019-05-02,1.99,150.75
00-839587,2.19,2024-10-13,0.99,121.21,2023-10-21,0.99,121.21,2022-10-13,0.99,121.21
